erwtisi,apantisi,vathmos
"Η ψυχολογική μου διάθεση είναι χειρότερη<br>από ό,τι πριν από την πανδημία",Ισχύει,55.4
"Η ψυχολογική μου διάθεση είναι χειρότερη<br>από ό,τι πριν από την πανδημία",Δεν ισχύει,44.4
"Η ψυχολογική μου διάθεση είναι χειρότερη<br>από ό,τι πριν από την πανδημία",ΔΓ/ΔΑ,0.2
Οι σχέσεις μου με τους φίλους και τους γνωστούς<br> μου έχουν αλλάξει μέσα στην πανδημία,Ισχύει,45.5
Οι σχέσεις μου με τους φίλους και τους γνωστούς<br> μου έχουν αλλάξει μέσα στην πανδημία,Δεν ισχύει,54.3
Οι σχέσεις μου με τους φίλους και τους γνωστούς<br> μου έχουν αλλάξει μέσα στην πανδημία,ΔΓ/ΔΑ,0.2
"Νιώθω πιο κοντά στην οικογένειά μου<br>από ό,τι πριν από την πανδημία",Ισχύει,47.4
"Νιώθω πιο κοντά στην οικογένειά μου<br>από ό,τι πριν από την πανδημία",Δεν ισχύει,52.3
"Νιώθω πιο κοντά στην οικογένειά μου<br>από ό,τι πριν από την πανδημία",ΔΓ/ΔΑ,0.3
"Δίνω μεγαλύτερη εκτίμηση στην υγεία<br>από ό,τι πριν από την πανδημία",Ισχύει,65.7
"Δίνω μεγαλύτερη εκτίμηση στην υγεία<br>από ό,τι πριν από την πανδημία",Δεν ισχύει,34.1
"Δίνω μεγαλύτερη εκτίμηση στην υγεία<br>από ό,τι πριν από την πανδημία",ΔΓ/ΔΑ,0.1
Ο τρόπος που εργάζομαι έχει αλλάξει<br>κατά τη διάρκεια της πανδημίας,Ισχύει,50.5
Ο τρόπος που εργάζομαι έχει αλλάξει<br>κατά τη διάρκεια της πανδημίας,Δεν ισχύει,46.3
Ο τρόπος που εργάζομαι έχει αλλάξει<br>κατά τη διάρκεια της πανδημίας,ΔΓ/ΔΑ,3.2
"Αισθάνομαι λιγότερο παραγωγικός/αποτελεσματικός<br>στη δουλειά μου από ό,τι ήμουν<br>πριν από την πανδημία",Ισχύει,20.7
"Αισθάνομαι λιγότερο παραγωγικός/αποτελεσματικός<br>στη δουλειά μου από ό,τι ήμουν<br>πριν από την πανδημία",Δεν ισχύει,76.4
"Αισθάνομαι λιγότερο παραγωγικός/αποτελεσματικός<br>στη δουλειά μου από ό,τι ήμουν<br>πριν από την πανδημία",ΔΓ/ΔΑ,2.9
"Το φετινό καλοκαίρι πήγα λιγότερες <br>ημέρες διακοπές από ό,τι προηγούμενες χρονιές",Ισχύει,53.1
"Το φετινό καλοκαίρι πήγα λιγότερες <br>ημέρες διακοπές από ό,τι προηγούμενες χρονιές",Δεν ισχύει,42.8
"Το φετινό καλοκαίρι πήγα λιγότερες <br>ημέρες διακοπές από ό,τι προηγούμενες χρονιές",ΔΓ/ΔΑ,4.1
Στις καλοκαιρινές μου διακοπές φέτος<br>πρόσεχα περισσότερο από ότι συνήθως,Ισχύει,71.3
Στις καλοκαιρινές μου διακοπές φέτος<br>πρόσεχα περισσότερο από ότι συνήθως,Δεν ισχύει,20.4
Στις καλοκαιρινές μου διακοπές φέτος<br>πρόσεχα περισσότερο από ότι συνήθως,ΔΓ/ΔΑ,8.3
"Στις καλοκαιρινές μου διακοπές πέρασα χειρότερα<br>από ότι άλλες χρονιές, εξαιτίας της πανδημίας",Ισχύει,36.3
"Στις καλοκαιρινές μου διακοπές πέρασα χειρότερα<br>από ότι άλλες χρονιές, εξαιτίας της πανδημίας",Δεν ισχύει,55.3
"Στις καλοκαιρινές μου διακοπές πέρασα χειρότερα<br>από ότι άλλες χρονιές, εξαιτίας της πανδημίας",ΔΓ/ΔΑ,8.4
Στην καθημερινότητά μου σήμερα συναντώ/συνομιλώ<br>με λιγότερους ανθρώπους από ότι θα έκανα<br>αν δεν υπήρχε πανδημία,Ισχύει,60.6
Στην καθημερινότητά μου σήμερα συναντώ/συνομιλώ<br>με λιγότερους ανθρώπους από ότι θα έκανα<br>αν δεν υπήρχε πανδημία,Δεν ισχύει,39.2
Στην καθημερινότητά μου σήμερα συναντώ/συνομιλώ<br>με λιγότερους ανθρώπους από ότι θα έκανα<br>αν δεν υπήρχε πανδημία,ΔΓ/ΔΑ,0.1
Νιώθω περισσότερο φόβο απέναντι<br>στους συνανθρώπους μου,Ισχύει,50.2
Νιώθω περισσότερο φόβο απέναντι<br>στους συνανθρώπους μου,Δεν ισχύει,49.2
Νιώθω περισσότερο φόβο απέναντι<br>στους συνανθρώπους μου,ΔΓ/ΔΑ,0.5
Νιώθω πιο θετικά απέναντι στην<br>τεχνολογία και τα εργαλεία της,Ισχύει,69.3
Νιώθω πιο θετικά απέναντι στην<br>τεχνολογία και τα εργαλεία της,Δεν ισχύει,28.6
Νιώθω πιο θετικά απέναντι στην<br>τεχνολογία και τα εργαλεία της,ΔΓ/ΔΑ,2.2
"Νιώθω περισσότερη αβεβαιότητα για το<br>μέλλον από ό,τι ένιωθα πριν<br>από την πανδημία",Ισχύει,79.7
"Νιώθω περισσότερη αβεβαιότητα για το<br>μέλλον από ό,τι ένιωθα πριν<br>από την πανδημία",Δεν ισχύει,20
"Νιώθω περισσότερη αβεβαιότητα για το<br>μέλλον από ό,τι ένιωθα πριν<br>από την πανδημία",ΔΓ/ΔΑ,0.3
