apantisi,perifereia,timi
Είναι ικανοποιητικός,Αττική,39.8
Δεν είναι ικανοποιητικός,Αττική,53
Μου είναι αδιάφορο,Αττική,0.2
ΔΓ/ΔΑ,Αττική,7
Είναι ικανοποιητικός,Βόρεια Ελλάδα,28.3
Δεν είναι ικανοποιητικός,Βόρεια Ελλάδα,62.7
Μου είναι αδιάφορο,Βόρεια Ελλάδα,3
ΔΓ/ΔΑ,Βόρεια Ελλάδα,6.1
Είναι ικανοποιητικός,Κεντρική Ελλάδα,30.4
Δεν είναι ικανοποιητικός,Κεντρική Ελλάδα,58
Μου είναι αδιάφορο,Κεντρική Ελλάδα,0.6
ΔΓ/ΔΑ,Κεντρική Ελλάδα,11
Είναι ικανοποιητικός,Κρήτη/Νησιά Αιγαίου,25
Δεν είναι ικανοποιητικός,Κρήτη/Νησιά Αιγαίου,66.5
ΔΓ/ΔΑ,Κρήτη/Νησιά Αιγαίου,8.5
