apantisi,vathmos,date,timi
Την εµπιστοσύνη στο σύστηµα υγείας,Θετικά,Apr-20,75.3
Την εµπιστοσύνη στο σύστηµα υγείας,Ουδέτερα,Apr-20,14.1
Την εµπιστοσύνη στο σύστηµα υγείας,Αρνητικά,Apr-20,9
Την εµπιστοσύνη στο σύστηµα υγείας,Θετικά,Sep-20,43.2
Την εµπιστοσύνη στο σύστηµα υγείας,Ουδέτερα,Sep-20,23.7
Την εµπιστοσύνη στο σύστηµα υγείας,Αρνητικά,Sep-20,30.4
Την αλληλεγγύη,Θετικά,Apr-20,66.8
Την αλληλεγγύη,Ουδέτερα,Apr-20,19
Την αλληλεγγύη,Αρνητικά,Apr-20,12.2
Την αλληλεγγύη,Θετικά,Sep-20,42.3
Την αλληλεγγύη,Ουδέτερα,Sep-20,25.1
Την αλληλεγγύη,Αρνητικά,Sep-20,28.9
Τις οικογενειακές σχέσεις,Θετικά,Apr-20,52.3
Τις οικογενειακές σχέσεις,Ουδέτερα,Apr-20,27.3
Τις οικογενειακές σχέσεις,Αρνητικά,Apr-20,17.4
Τις οικογενειακές σχέσεις,Θετικά,Sep-20,37.4
Τις οικογενειακές σχέσεις,Ουδέτερα,Sep-20,39.1
Τις οικογενειακές σχέσεις,Αρνητικά,Sep-20,21.3
Την εµπιστοσύνη στην ιδιωτική πρωτοβουλία,Θετικά,Apr-20,44.2
Την εµπιστοσύνη στην ιδιωτική πρωτοβουλία,Ουδέτερα,Apr-20,33
Την εµπιστοσύνη στην ιδιωτική πρωτοβουλία,Αρνητικά,Apr-20,18.2
Την εµπιστοσύνη στην ιδιωτική πρωτοβουλία,Θετικά,Sep-20,32
Την εµπιστοσύνη στην ιδιωτική πρωτοβουλία,Ουδέτερα,Sep-20,34.9
Την εµπιστοσύνη στην ιδιωτική πρωτοβουλία,Αρνητικά,Sep-20,27.9
Την εµπιστοσύνη στο κράτος,Θετικά,Apr-20,57.2
Την εµπιστοσύνη στο κράτος,Ουδέτερα,Apr-20,24.2
Την εµπιστοσύνη στο κράτος,Αρνητικά,Apr-20,14.6
Την εµπιστοσύνη στο κράτος,Θετικά,Sep-20,25.5
Την εµπιστοσύνη στο κράτος,Ουδέτερα,Sep-20,29.8
Την εµπιστοσύνη στο κράτος,Αρνητικά,Sep-20,41.8
Τον τρόπο εργασίας,Θετικά,Apr-20,30.4
Τον τρόπο εργασίας,Ουδέτερα,Apr-20,21.4
Τον τρόπο εργασίας,Αρνητικά,Apr-20,45.8
Τον τρόπο εργασίας,Θετικά,Sep-20,20.8
Τον τρόπο εργασίας,Ουδέτερα,Sep-20,19.9
Τον τρόπο εργασίας,Αρνητικά,Sep-20,57
Τη δηµοκρατία,Θετικά,Apr-20,34.6
Τη δηµοκρατία,Ουδέτερα,Apr-20,35.9
Τη δηµοκρατία,Αρνητικά,Apr-20,25.9
Τη δηµοκρατία,Θετικά,Sep-20,17.5
Τη δηµοκρατία,Ουδέτερα,Sep-20,33.1
Τη δηµοκρατία,Αρνητικά,Sep-20,44.8
Τη σωµατική υγεία των πολιτών,Θετικά,Apr-20,28.7
Τη σωµατική υγεία των πολιτών,Ουδέτερα,Apr-20,26.5
Τη σωµατική υγεία των πολιτών,Αρνητικά,Apr-20,41.6
Τη σωµατική υγεία των πολιτών,Θετικά,Sep-20,16.3
Τη σωµατική υγεία των πολιτών,Ουδέτερα,Sep-20,27.1
Τη σωµατική υγεία των πολιτών,Αρνητικά,Sep-20,53.7
Την εκπαίδευση,Θετικά,Apr-20,26.5
Την εκπαίδευση,Ουδέτερα,Apr-20,22.4
Την εκπαίδευση,Αρνητικά,Apr-20,49.1
Την εκπαίδευση,Θετικά,Sep-20,15.5
Την εκπαίδευση,Ουδέτερα,Sep-20,17.8
Την εκπαίδευση,Αρνητικά,Sep-20,64.7
Το αίσθηµα ασφάλειας,Θετικά,Apr-20,32.9
Το αίσθηµα ασφάλειας,Ουδέτερα,Apr-20,25
Το αίσθηµα ασφάλειας,Αρνητικά,Apr-20,39.6
Το αίσθηµα ασφάλειας,Θετικά,Sep-20,15.1
Το αίσθηµα ασφάλειας,Ουδέτερα,Sep-20,22.3
