apantisi,date,timi
Προς τη σωστή,Apr-20,85.7
Προς τη λάθος,Apr-20,9.6
"Ούτε προς τη σωστή, ούτε προς τη λάθος",Apr-20,3.2
ΔΓ/ΔΑ,Apr-20,1.5
Προς τη σωστή,Sep-20,56.6
Προς τη λάθος,Sep-20,30.7
"Ούτε προς τη σωστή, ούτε προς τη λάθος",Sep-20,7.7
ΔΓ/ΔΑ,Sep-20,5.0
Προς τη σωστή,Dec-20,54.4
Προς τη λάθος,Dec-20,34.6
"Ούτε προς τη σωστή, ούτε προς τη λάθος",Dec-20,6.0
ΔΓ/ΔΑ,Dec-20,4.9
Προς τη σωστή,Jan-21,51.4
Προς τη λάθος,Jan-21,36.3
"Ούτε προς τη σωστή, ούτε προς τη λάθος",Jan-21,7.2
ΔΓ/ΔΑ,Jan-21,5.0
Προς τη σωστή,Mar-21,45.8
Προς τη λάθος,Mar-21,44.3
"Ούτε προς τη σωστή, ούτε προς τη λάθος",Mar-21,5.5
ΔΓ/ΔΑ,Mar-21,4.4
Προς τη σωστή,May-21,57.2
Προς τη λάθος,May-21,32.3
"Ούτε προς τη σωστή, ούτε προς τη λάθος",May-21,7.5
ΔΓ/ΔΑ,May-21,3.1
