,date,value
Αισιοδοξία,Apr-20,26.5
Ανασφάλεια,Apr-20,23.2
Απογοήτευση,Apr-20,4.9
Αυτοπεποίθηση,Apr-20,7.4
Θυμός,Apr-20,4.8
Ντροπή,Apr-20,1.1
Σιγουριά,Apr-20,15.5
Υπερηφάνεια,Apr-20,11.9
Αβεβαιότητα,Sep-20,20.7
Άγχος,Sep-20,11.5
Αισιοδοξία,Sep-20,8.5
Ανασφάλεια,Sep-20,16.2
Απογοήτευση,Sep-20,9.3
Αυτοπεποίθηση,Sep-20,2.7
Θυμός,Sep-20,7.4
Ντροπή,Sep-20,1.8
Σιγουριά,Sep-20,4
Υπερηφάνεια,Sep-20,4.9
Φόβος,Sep-20,9.1
Αβεβαιότητα,Jan-21,26.6
Άγχος,Jan-21,11.1
Αισιοδοξία,Jan-21,10.2
Ανασφάλεια,Jan-21,16.1
Απογοήτευση,Jan-21,10.1
Αυτοπεποίθηση,Jan-21,1.7
Θυμός,Jan-21,7.3
Ντροπή,Jan-21,2.1
Σιγουριά,Jan-21,3.6
Υπερηφάνεια,Jan-21,2.8
Φόβος,Jan-21,6.7
Αβεβαιότητα,Mar-21,24.5
Άγχος,Mar-21,12.8
Αισιοδοξία,Mar-21,8.1
Ανασφάλεια,Mar-21,14.6
Απογοήτευση,Mar-21,9.3
Αυτοπεποίθηση,Mar-21,1.6
Θυμός,Mar-21,10.5
Ντροπή,Mar-21,3.8
Σιγουριά,Mar-21,4.1
Υπερηφάνεια,Mar-21,2.3
Φόβος,Mar-21,6.6
Αβεβαιότητα,May-21,25.8
Άγχος,May-21,13.1
Αισιοδοξία,May-21,11.8
Ανασφάλεια,May-21,15.3
Απογοήτευση,May-21,7.6
Αυτοπεποίθηση,May-21,2.4
Θυμός,May-21,4.5
Ντροπή,May-21,1.5
Σιγουριά,May-21,5.7
Υπερηφάνεια,May-21,4.9
Φόβος,May-21,5.3
