apantisi,timi,date
Eργάζομαι κανονικά στον χώρο εργασίας μου,25.4,Apr-20
Eργάζομαι εξ αποστάσεως (τηλεργασία),26.2,Apr-20
Eργάζομαι με μειωμένο ωράριο/εκ περιτροπής,8.7,Apr-20
Δεν εργάζομαι/έκλεισε το κατάστημα ή εταιρεία,13.6,Apr-20
Δεν εργάζομαι/είμαι σε αναστολή εργασίας,18.3,Apr-20
Eργάζομαι κανονικά στον χώρο εργασίας μου,72.7,Sep-20
Eργάζομαι εξ αποστάσεως (τηλεργασία),12.2,Sep-20
Eργάζομαι με μειωμένο ωράριο/εκ περιτροπής,5.9,Sep-20
Δεν εργάζομαι/έκλεισε το κατάστημα ή εταιρεία,1.6,Sep-20
Δεν εργάζομαι/είμαι σε αναστολή εργασίας,3.5,Sep-20
Eργάζομαι κανονικά στον χώρο εργασίας μου,48.1,Dec-20
Eργάζομαι εξ αποστάσεως (τηλεργασία),20.3,Dec-20
Eργάζομαι με μειωμένο ωράριο/εκ περιτροπής,6.1,Dec-20
Δεν εργάζομαι/έκλεισε το κατάστημα ή εταιρεία,5.8,Dec-20
Δεν εργάζομαι/είμαι σε αναστολή εργασίας,13.4,Dec-20
Eργάζομαι κανονικά στον χώρο εργασίας μου,46.5,Jan-21
Eργάζομαι εξ αποστάσεως (τηλεργασία),22.9,Jan-21
Eργάζομαι με μειωμένο ωράριο/εκ περιτροπής,5.7,Jan-21
Δεν εργάζομαι/έκλεισε το κατάστημα ή εταιρεία,5.5,Jan-21
Δεν εργάζομαι/είμαι σε αναστολή εργασίας,15.3,Jan-21
Eργάζομαι κανονικά στον χώρο εργασίας μου,53.9,Mar-21
Eργάζομαι εξ αποστάσεως (τηλεργασία),16.7,Mar-21
Eργάζομαι με μειωμένο ωράριο/εκ περιτροπής,6.3,Mar-21
Δεν εργάζομαι/έκλεισε το κατάστημα ή εταιρεία,4.9,Mar-21
Δεν εργάζομαι/είμαι σε αναστολή εργασίας,13.6,Mar-21
Eργάζομαι κανονικά στον χώρο εργασίας μου,63.8,May-21
Eργάζομαι εξ αποστάσεως (τηλεργασία),21.5,May-21
Eργάζομαι με μειωμένο ωράριο/εκ περιτροπής,3.6,May-21
Δεν εργάζομαι/έκλεισε το κατάστημα ή εταιρεία,1.6,May-21
Δεν εργάζομαι/είμαι σε αναστολή εργασίας,5.4,May-21
