foreas,date,timi
Προσωπικός γιατρός ,Dec-20,4.2
Φαρμακοποιός,Dec-20,3.9
Ειδικές εισηγητικές<br>επιτροπές εμπειρογνωμόνων,Dec-20,3.3
"Υπουργείο Υγείας,<br>Υγειονομικές Υπηρεσίες",Dec-20,3.3
Διεθνείς φορείς,Dec-20,3.3
Κυβέρνηση,Dec-20,2.9
Προσωπικός γιατρός ,Jan-21,4.2
Φαρμακοποιός,Jan-21,3.9
Ειδικές εισηγητικές<br>επιτροπές εμπειρογνωμόνων,Jan-21,3.3
"Υπουργείο Υγείας,<br>Υγειονομικές Υπηρεσίες",Jan-21,3.1
Διεθνείς φορείς,Jan-21,3.2
Κυβέρνηση,Jan-21,2.7
Προσωπικός γιατρός ,Mar-21,4.2
Φαρμακοποιός,Mar-21,4.1
Ειδικές εισηγητικές<br>επιτροπές εμπειρογνωμόνων,Mar-21,3.2
"Υπουργείο Υγείας,<br>Υγειονομικές Υπηρεσίες",Mar-21,3.1
Διεθνείς φορείς,Mar-21,3.0
Κυβέρνηση,Mar-21,2.7
Προσωπικός γιατρός ,May-21,4.2
Φαρμακοποιός,May-21,4.2
Ειδικές εισηγητικές<br>επιτροπές εμπειρογνωμόνων,May-21,3.3
"Υπουργείο Υγείας,<br>Υγειονομικές Υπηρεσίες",May-21,3.3
Διεθνείς φορείς,May-21,3.2
Κυβέρνηση,May-21,2.8
