freq;unit;coicop;geo\TIME_PERIOD,2019-03 ,2019-04 ,2019-05 ,2019-06 ,2019-07 ,2019-08 ,2019-09 ,2019-10 ,2019-11 ,2019-12 ,2020-01 ,2020-02 ,2020-03 ,2020-04 ,2020-05 ,2020-06 ,2020-07 ,2020-08 ,2020-09 ,2020-10 ,2020-11 ,2020-12 ,2021-01 ,2021-02 ,2021-03
M;RCH_A;CP00;AT,1.7,1.7,1.7,1.6,1.4,1.5,1.2,1,1.2,1.8,2.2,2.2,1.6,1.5,0.6,1.1,1.8,1.4,1.2,1.1,1.1,1,1.1,1.4,2
M;RCH_A;CP00;BE,2.2,2,1.7,1.3,1.2,0.9,0.6,0.2,0.4,0.9,1.4,1,0.4,0,-0.2,0.2,1.7,-0.9,0.5,0.4,0.2,0.4,0.6,0.3,1.6
M;RCH_A;CP00;BG,2.8,3.1,2.9,2.3,2.6,2.5,1.6,1.6,2.2,3.1,3.4,3.1,2.4,1.3,1,0.9,0.4,0.6,0.6,0.6,0.3,0,-0.3,0.2,0.8
M;RCH_A;CP00;CH,0.7,1.1,0.5,0.7,0.4,0.5,0.1,-0.3,-0.3,-0.1,0.2,-0.2,-0.4,-1,-1,-1.3,-1.2,-1.4,-1.1,-0.9,-0.8,-1,-0.6,-0.4,-0.2
M;RCH_A;CP00;CY,1.1,1.2,0.2,0.3,0.1,0.6,-0.5,-0.5,0.5,0.7,0.7,1,0.1,-1.2,-1.4,-2.2,-2,-2.9,-1.9,-1.4,-1.1,-0.8,-0.8,-0.9,0.3
M;RCH_A;CP00;CZ,2.6,2.4,2.6,2.4,2.6,2.6,2.6,2.6,3,3.2,3.8,3.7,3.6,3.3,3.1,3.4,3.6,3.5,3.3,2.9,2.8,2.4,2.2,2.1,2.3
M;RCH_A;CP00;DE,1.4,2.1,1.3,1.5,1.1,1,0.9,0.9,1.2,1.5,1.6,1.7,1.3,0.8,0.5,0.8,0,-0.1,-0.4,-0.5,-0.7,-0.7,1.6,1.6,2
M;RCH_A;CP00;DK,1.2,0.9,0.7,0.5,0.4,0.5,0.4,0.6,0.6,0.8,0.8,0.7,0.3,-0.1,-0.2,0.2,0.4,0.4,0.5,0.3,0.4,0.4,0.4,0.5,0.9
M;RCH_A;CP00;EA,1.4,1.7,1.2,1.3,1,1,0.8,0.7,1,1.3,1.4,1.2,0.7,0.3,0.1,0.3,0.4,-0.2,-0.3,-0.3,-0.3,-0.3,0.9,0.9,1.3
M;RCH_A;CP00;EE,2.2,3.2,3.1,2.6,2,2.1,2.2,1.4,1.8,1.8,1.6,2,1,-0.9,-1.8,-1.6,-1.3,-1.3,-1.3,-1.7,-1.2,-0.9,0.3,0.5,0.9
M;RCH_A;CP00;EEA,1.6,1.9,1.6,1.6,1.4,1.4,1.2,1.1,1.3,1.6,1.7,1.6,1.2,0.7,0.6,0.8,0.9,0.4,0.3,0.3,0.2,0.3,1.2,1.3,1.7
M;RCH_A;CP00;EL,1.0,1.1,0.6,0.2,0.4,0.1,0.2,-0.3,0.5,1.1,1.1,0.4,0.2,-0.9,-0.7,-1.9,-2.1,-2.3,-2.3,-2.0,-2.1,-2.4,-2.4,-1.9,-2.0
M;RCH_A;CP00;ES,1.3,1.6,0.9,0.6,0.6,0.4,0.2,0.2,0.5,0.8,1.1,0.9,0.1,-0.7,-0.9,-0.3,-0.7,-0.6,-0.6,-0.9,-0.8,-0.6,0.4,-0.1,1.2
M;RCH_A;CP00;EU,1.6,1.9,1.6,1.6,1.4,1.4,1.2,1.1,1.3,1.6,1.7,1.6,1.2,0.7,0.6,0.8,0.9,0.4,0.3,0.3,0.2,0.3,1.2,1.3,1.7
