,country,date,index_value
0,M;RCH_A;CP00;EL,2019-03 ,1.0
1,M;RCH_A;CP00;EL,2019-04 ,1.1
2,M;RCH_A;CP00;EL,2019-05 ,0.6
3,M;RCH_A;CP00;EL,2019-06 ,0.2
4,M;RCH_A;CP00;EL,2019-07 ,0.4
5,M;RCH_A;CP00;EL,2019-08 ,0.1
6,M;RCH_A;CP00;EL,2019-09 ,0.2
7,M;RCH_A;CP00;EL,2019-10 ,-0.3
8,M;RCH_A;CP00;EL,2019-11 ,0.5
9,M;RCH_A;CP00;EL,2019-12 ,1.1
10,M;RCH_A;CP00;EL,2020-01 ,1.1
11,M;RCH_A;CP00;EL,2020-02 ,0.4
12,M;RCH_A;CP00;EL,2020-03 ,0.2
13,M;RCH_A;CP00;EL,2020-04 ,-0.9
14,M;RCH_A;CP00;EL,2020-05 ,-0.7
15,M;RCH_A;CP00;EL,2020-06 ,-1.9
16,M;RCH_A;CP00;EL,2020-07 ,-2.1
17,M;RCH_A;CP00;EL,2020-08 ,-2.3
18,M;RCH_A;CP00;EL,2020-09 ,-2.3
19,M;RCH_A;CP00;EL,2020-10 ,-2.0
20,M;RCH_A;CP00;EL,2020-11 ,-2.1
21,M;RCH_A;CP00;EL,2020-12 ,-2.4
22,M;RCH_A;CP00;EL,2021-01 ,-2.4
23,M;RCH_A;CP00;EL,2021-02 ,-1.9
24,M;RCH_A;CP00;EL,2021-03,-2.0
