,Date,timi
0,,
1,2020-03-14,5.0
2,2020-03-15,8.0
3,2020-03-16,9.0
4,2020-03-17,11.0
5,2020-03-18,13.0
6,2020-03-19,16.0
7,2020-03-20,20.0
8,2020-03-21,18.0
9,2020-03-22,34.0
10,2020-03-23,35.0
11,2020-03-24,45.0
12,2020-03-25,53.0
13,2020-03-26,57.0
14,2020-03-27,66.0
15,2020-03-28,69.0
16,2020-03-29,69.0
17,2020-03-30,72.0
18,2020-03-31,85.0
19,2020-04-01,90.0
20,2020-04-02,91.0
21,2020-04-03,92.0
22,2020-04-04,91.0
23,2020-04-05,93.0
24,2020-04-06,90.0
25,2020-04-07,90.0
26,2020-04-08,84.0
27,2020-04-09,79.0
28,2020-04-10,77.0
29,2020-04-11,75.0
30,2020-04-12,76.0
31,2020-04-13,73.0
32,2020-04-14,76.0
33,2020-04-15,72.0
34,2020-04-16,69.0
35,2020-04-17,69.0
36,2020-04-18,67.0
37,2020-04-19,67.0
38,2020-04-20,61.0
39,2020-04-21,59.0
40,2020-04-22,55.0
41,2020-04-23,52.0
42,2020-04-24,48.0
43,2020-04-25,47.0
44,2020-04-26,46.0
45,2020-04-27,43.0
46,2020-04-28,40.0
47,2020-04-29,41.0
48,2020-04-30,38.0
49,2020-05-01,36.0
50,2020-05-02,37.0
51,2020-05-03,37.0
52,2020-05-04,35.0
53,2020-05-05,35.0
54,2020-05-06,36.0
55,2020-05-07,33.0
56,2020-05-08,32.0
57,2020-05-09,28.0
58,2020-05-10,30.0
59,2020-05-11,32.0
60,2020-05-12,32.0
61,2020-05-13,28.0
62,2020-05-14,24.0
63,2020-05-15,23.0
64,2020-05-16,23.0
65,2020-05-17,22.0
66,2020-05-18,24.0
67,2020-05-19,22.0
68,2020-05-20,22.0
69,2020-05-21,21.0
70,2020-05-22,19.0
71,2020-05-23,20.0
72,2020-05-24,19.0
73,2020-05-25,18.0
74,2020-05-26,18.0
75,2020-05-27,17.0
76,2020-05-28,16.0
77,2020-05-29,16.0
78,2020-05-30,14.0
79,2020-05-31,13.0
80,2020-06-01,12.0
81,2020-06-02,11.0
82,2020-06-03,11.0
83,2020-06-04,9.0
84,2020-06-05,9.0
85,2020-06-06,9.0
86,2020-06-07,9.0
87,2020-06-08,10.0
88,2020-06-09,10.0
89,2020-06-10,12.0
90,2020-06-11,14.0
91,2020-06-12,14.0
92,2020-06-13,13.0
93,2020-06-14,13.0
94,2020-06-15,13.0
95,2020-06-16,12.0
96,2020-06-17,11.0
97,2020-06-18,10.0
98,2020-06-19,10.0
99,2020-06-20,10.0
100,2020-06-21,9.0
101,2020-06-22,8.0
102,2020-06-23,8.0
103,2020-06-24,8.0
104,2020-06-25,9.0
105,2020-06-26,11.0
106,2020-06-27,11.0
107,2020-06-28,10.0
108,2020-06-29,11.0
109,2020-06-30,9.0
110,2020-07-01,9.0
111,2020-07-02,8.0
112,2020-07-03,8.0
113,2020-07-04,11.0
