,Ημερομηνία,Θετικότητα ημέρας_1,"Θετικότητα ΜΟ,  SUM"
0,2020-03-11,,
1,2020-03-12,0.072,0.065
2,2020-03-13,0.0,0.065
3,2020-03-14,0.054,0.073
4,2020-03-15,0.172,0.073
5,2020-03-16,0.066,0.125
6,2020-03-17,0.06,0.131
7,2020-03-18,0.028,0.139
8,2020-03-19,0.077,0.144
9,2020-03-20,0.052,0.141
10,2020-03-21,0.056,0.141
11,2020-03-22,0.534,0.144
12,2020-03-23,0.111,0.085
13,2020-03-24,0.112,0.079
14,2020-03-25,0.065,0.082
15,2020-03-26,0.055,0.096
16,2020-03-27,0.057,0.1
17,2020-03-28,0.074,0.095
18,2020-03-29,0.121,0.094
19,2020-03-30,0.069,0.081
20,2020-03-31,0.132,0.075
21,2020-04-01,0.163,0.06
22,2020-04-02,0.086,0.039
23,2020-04-03,0.019,0.036
24,2020-04-04,0.067,0.037
25,2020-04-05,0.029,0.033
26,2020-04-06,0.027,0.03
27,2020-04-07,0.032,0.03
28,2020-04-08,0.013,0.027
29,2020-04-09,0.064,0.027
30,2020-04-10,0.03,0.019
31,2020-04-11,0.038,0.016
32,2020-04-12,0.007,0.011
33,2020-04-13,0.027,0.01
34,2020-04-14,0.013,0.008
35,2020-04-15,0.011,0.023
36,2020-04-16,0.007,0.022
37,2020-04-17,0.008,0.024
38,2020-04-18,0.007,0.025
39,2020-04-19,0.0,0.025
40,2020-04-20,0.009,0.026
41,2020-04-21,0.118,0.027
42,2020-04-22,0.005,0.011
43,2020-04-23,0.024,0.011
44,2020-04-24,0.012,0.015
45,2020-04-25,0.01,0.014
46,2020-04-26,0.007,0.014
47,2020-04-27,0.011,0.014
48,2020-04-28,0.009,0.013
49,2020-04-29,0.004,0.012
50,2020-04-30,0.049,0.012
51,2020-05-01,0.01,0.006
52,2020-05-02,0.008,0.005
53,2020-05-03,0.005,0.005
54,2020-05-04,0.004,0.005
55,2020-05-05,0.004,0.007
56,2020-05-06,0.006,0.007
57,2020-05-07,0.005,0.006
58,2020-05-08,0.003,0.006
59,2020-05-09,0.006,0.007
60,2020-05-10,0.004,0.006
61,2020-05-11,0.021,0.007
62,2020-05-12,0.003,0.004
63,2020-05-13,0.003,0.004
64,2020-05-14,0.002,0.004
65,2020-05-15,0.011,0.004
66,2020-05-16,0.001,0.01
67,2020-05-17,0.007,0.01
68,2020-05-18,0.001,0.01
69,2020-05-19,0.001,0.01
70,2020-05-20,0.003,0.01
71,2020-05-21,0.001,0.01
72,2020-05-22,0.054,0.01
73,2020-05-23,0.006,0.003
74,2020-05-24,0.002,0.002
75,2020-05-25,0.004,0.002
76,2020-05-26,0.001,0.001
77,2020-05-27,0.003,0.002
78,2020-05-28,0.001,0.004
79,2020-05-29,0.001,0.007
80,2020-05-30,0.002,0.007
81,2020-05-31,0.001,0.007
82,2020-06-01,0.001,0.007
83,2020-06-02,0.006,0.008
84,2020-06-03,0.014,0.012
85,2020-06-04,0.022,0.011
86,2020-06-05,0.002,0.008
87,2020-06-06,0.001,0.009
88,2020-06-07,0.002,0.009
89,2020-06-08,0.006,0.009
90,2020-06-09,0.04,0.009
91,2020-06-10,0.002,0.003
92,2020-06-11,0.005,0.005
93,2020-06-12,0.007,0.005
94,2020-06-13,0.001,0.004
95,2020-06-14,0.003,0.004
96,2020-06-15,0.003,0.004
97,2020-06-16,0.003,0.005
98,2020-06-17,0.011,0.005
99,2020-06-18,0.004,0.004
100,2020-06-19,0.002,0.003
101,2020-06-20,0.005,0.003
102,2020-06-21,0.002,0.003
103,2020-06-22,0.007,0.003
104,2020-06-23,0.003,0.003
105,2020-06-24,0.002,0.003
106,2020-06-25,0.0,0.004
107,2020-06-26,0.005,0.005
108,2020-06-27,0.004,0.005
109,2020-06-28,0.003,0.005
110,2020-06-29,0.005,0.005
111,2020-06-30,0.005,0.006
112,2020-07-01,0.007,0.006
113,2020-07-02,0.006,0.006
114,2020-07-03,0.006,0.007
115,2020-07-04,0.004,0.008
116,2020-07-05,0.002,0.008
117,2020-07-06,0.014,0.009
118,2020-07-07,0.003,0.008
119,2020-07-08,0.005,0.01
120,2020-07-09,0.014,0.01
121,2020-07-10,0.013,0.008
122,2020-07-11,0.005,0.007
123,2020-07-12,0.011,0.007
124,2020-07-13,0.003,0.007
125,2020-07-14,0.016,0.007
126,2020-07-15,0.005,0.005
127,2020-07-16,0.005,0.006
128,2020-07-17,0.006,0.006
129,2020-07-18,0.006,0.005
130,2020-07-19,0.005,0.006
131,2020-07-20,0.004,0.006
132,2020-07-21,0.006,0.007
133,2020-07-22,0.007,0.007
134,2020-07-23,0.005,0.006
135,2020-07-24,0.005,0.006
136,2020-07-25,0.009,0.007
137,2020-07-26,0.004,0.007
138,2020-07-27,0.01,0.008
139,2020-07-28,0.008,0.008
140,2020-07-29,0.001,0.007
141,2020-07-30,0.008,0.009
142,2020-07-31,0.008,0.01
143,2020-08-01,0.011,0.027
144,2020-08-02,0.013,0.028
145,2020-08-03,0.004,0.029
146,2020-08-04,0.003,0.031
147,2020-08-05,0.013,0.033
148,2020-08-06,0.016,0.035
149,2020-08-07,0.13,0.036
150,2020-08-08,0.016,0.02
151,2020-08-09,0.019,0.02
152,2020-08-10,0.018,0.026
153,2020-08-11,0.019,0.026
154,2020-08-12,0.024,0.026
155,2020-08-13,0.027,0.023
156,2020-08-14,0.014,0.022
157,2020-08-15,0.022,0.023
158,2020-08-16,0.057,0.024
159,2020-08-17,0.02,0.019
160,2020-08-18,0.019,0.019
161,2020-08-19,0.003,0.018
162,2020-08-20,0.022,0.02
163,2020-08-21,0.02,0.019
164,2020-08-22,0.024,0.019
165,2020-08-23,0.027,0.018
166,2020-08-24,0.017,0.016
167,2020-08-25,0.012,0.017
168,2020-08-26,0.019,0.017
169,2020-08-27,0.017,0.017
170,2020-08-28,0.02,0.017
171,2020-08-29,0.013,0.017
172,2020-08-30,0.016,0.017
173,2020-08-31,0.022,0.017
174,2020-09-01,0.012,0.016
175,2020-09-02,0.016,0.016
176,2020-09-03,0.02,0.016
177,2020-09-04,0.019,0.016
178,2020-09-05,0.016,0.017
179,2020-09-06,0.011,0.017
180,2020-09-07,0.015,0.018
