,age,date,index_value
0,M;SA;TOTAL;PC_ACT;T;EL,2019-01,18.7
1,M;SA;TOTAL;PC_ACT;T;EL,2019-02,18.6
2,M;SA;TOTAL;PC_ACT;T;EL,2019-03 ,17.8
3,M;SA;TOTAL;PC_ACT;T;EL,2019-04 ,17.9
4,M;SA;TOTAL;PC_ACT;T;EL,2019-05 ,17.1
5,M;SA;TOTAL;PC_ACT;T;EL,2019-06 ,16.9
6,M;SA;TOTAL;PC_ACT;T;EL,2019-07 ,17.2
7,M;SA;TOTAL;PC_ACT;T;EL,2019-08 ,16.7
8,M;SA;TOTAL;PC_ACT;T;EL,2019-09 ,16.7
9,M;SA;TOTAL;PC_ACT;T;EL,2019-10 ,16.9
10,M;SA;TOTAL;PC_ACT;T;EL,2019-11 ,16.6
11,M;SA;TOTAL;PC_ACT;T;EL,2019-12 ,16.4
12,M;SA;TOTAL;PC_ACT;T;EL,2020-01 ,16.7
13,M;SA;TOTAL;PC_ACT;T;EL,2020-02 ,15.4
14,M;SA;TOTAL;PC_ACT;T;EL,2020-03 ,15.9
15,M;SA;TOTAL;PC_ACT;T;EL,2020-04 ,16.3
16,M;SA;TOTAL;PC_ACT;T;EL,2020-05 ,16.7
17,M;SA;TOTAL;PC_ACT;T;EL,2020-06 ,17.8
18,M;SA;TOTAL;PC_ACT;T;EL,2020-07 ,16.8
19,M;SA;TOTAL;PC_ACT;T;EL,2020-08 ,16.9
20,M;SA;TOTAL;PC_ACT;T;EL,2020-09 ,16.6
21,M;SA;TOTAL;PC_ACT;T;EL,2020-10 ,16.4
22,M;SA;TOTAL;PC_ACT;T;EL,2020-11 ,16.2
23,M;SA;TOTAL;PC_ACT;T;EL,2020-12,15.8
24,M;SA;Y25-74;PC_ACT;T;EL,2019-01,17.6
25,M;SA;Y25-74;PC_ACT;T;EL,2019-02,17.6
26,M;SA;Y25-74;PC_ACT;T;EL,2019-03 ,16.8
27,M;SA;Y25-74;PC_ACT;T;EL,2019-04 ,17.1
28,M;SA;Y25-74;PC_ACT;T;EL,2019-05 ,16.3
29,M;SA;Y25-74;PC_ACT;T;EL,2019-06 ,16.0
30,M;SA;Y25-74;PC_ACT;T;EL,2019-07 ,16.4
31,M;SA;Y25-74;PC_ACT;T;EL,2019-08 ,15.8
32,M;SA;Y25-74;PC_ACT;T;EL,2019-09 ,15.7
33,M;SA;Y25-74;PC_ACT;T;EL,2019-10 ,15.9
34,M;SA;Y25-74;PC_ACT;T;EL,2019-11 ,15.6
35,M;SA;Y25-74;PC_ACT;T;EL,2019-12 ,15.6
36,M;SA;Y25-74;PC_ACT;T;EL,2020-01 ,15.9
37,M;SA;Y25-74;PC_ACT;T;EL,2020-02 ,14.4
38,M;SA;Y25-74;PC_ACT;T;EL,2020-03 ,14.9
39,M;SA;Y25-74;PC_ACT;T;EL,2020-04 ,15.3
40,M;SA;Y25-74;PC_ACT;T;EL,2020-05 ,15.8
41,M;SA;Y25-74;PC_ACT;T;EL,2020-06 ,16.9
42,M;SA;Y25-74;PC_ACT;T;EL,2020-07 ,15.9
43,M;SA;Y25-74;PC_ACT;T;EL,2020-08 ,15.8
44,M;SA;Y25-74;PC_ACT;T;EL,2020-09 ,15.6
45,M;SA;Y25-74;PC_ACT;T;EL,2020-10 ,15.5
46,M;SA;Y25-74;PC_ACT;T;EL,2020-11 ,15.3
47,M;SA;Y25-74;PC_ACT;T;EL,2020-12,14.9
48,M;SA;Y_LT25;PC_ACT;T;EL,2019-01,39.6
49,M;SA;Y_LT25;PC_ACT;T;EL,2019-02,38.5
50,M;SA;Y_LT25;PC_ACT;T;EL,2019-03 ,38.1
51,M;SA;Y_LT25;PC_ACT;T;EL,2019-04 ,32.9
52,M;SA;Y_LT25;PC_ACT;T;EL,2019-05 ,33.1
53,M;SA;Y_LT25;PC_ACT;T;EL,2019-06 ,33.9
54,M;SA;Y_LT25;PC_ACT;T;EL,2019-07 ,33.6
55,M;SA;Y_LT25;PC_ACT;T;EL,2019-08 ,34.3
56,M;SA;Y_LT25;PC_ACT;T;EL,2019-09 ,34.8
57,M;SA;Y_LT25;PC_ACT;T;EL,2019-10 ,35.1
58,M;SA;Y_LT25;PC_ACT;T;EL,2019-11 ,34.3
59,M;SA;Y_LT25;PC_ACT;T;EL,2019-12 ,33.0
60,M;SA;Y_LT25;PC_ACT;T;EL,2020-01 ,33.8
61,M;SA;Y_LT25;PC_ACT;T;EL,2020-02 ,34.3
62,M;SA;Y_LT25;PC_ACT;T;EL,2020-03 ,34.4
63,M;SA;Y_LT25;PC_ACT;T;EL,2020-04 ,36.3
64,M;SA;Y_LT25;PC_ACT;T;EL,2020-05 ,34.9
65,M;SA;Y_LT25;PC_ACT;T;EL,2020-06 ,38.8
66,M;SA;Y_LT25;PC_ACT;T;EL,2020-07 ,37.3
67,M;SA;Y_LT25;PC_ACT;T;EL,2020-08 ,36.1
68,M;SA;Y_LT25;PC_ACT;T;EL,2020-09 ,33.7
69,M;SA;Y_LT25;PC_ACT;T;EL,2020-10 ,33.8
70,M;SA;Y_LT25;PC_ACT;T;EL,2020-11 ,33.5
71,M;SA;Y_LT25;PC_ACT;T;EL,2020-12,34.2
