Ημερομηνία,Εμβολιασμοί Σύνολο,Εμβολιασμοί ημέρας,Εμβολιασμοί ΜΟ (week),1η δόση (σύνολο),1η δόση (ημέρας),1η δόση ΜΟ(week),2η δόση σύνολο,2η δόση (ημέρας),2η δόση ΜΟ(week),1η δόση,2η δόση,m.o. week,,,,,,10720000
27-12-20,211.00,211,,,211,,,,,,,,,,,,,
28-12-20,386.00,175,,,175,,,,,,,,,,,,,
29-12-20,1056.00,670,,,670,,,,,,,,,,,,,
30-12-20,1763.00,707,,,707,,,,,,,,,,,,,
31-12-20,2393.00,630,,,630,,,,,,,,,,,,,
01-01-21,2657.00,264,,,264,,,,,,,,,,,,,
02-01-21,3001.00,344,429,,344,,,,,,,429,,,,,,
03-01-21,3779.00,778,510,,778,,,,,,,510,,,,,,
04-01-21,9528.00,5.749,1.306,,5749,,,,,,,1306,,,,,,
05-01-21,16233.00,6.705,2.168,,6705,,,,,,,2168,,,,,,
06-01-21,20466.00,4.233,2.672,,4233,,,,,,,2672,,,,,,
07-01-21,26006.00,5.54,3.373,,5540,,,,,,,3373,,,,,,
08-01-21,34787.00,8.781,4.59,,8781,,,,,,,4590,,,,,,
09-01-21,40163.00,5.376,5.309,,5376,,,,,,,5309,,,,,,
10-01-21,4408.00,3.917,5.757,,3917,,,,,,,5757,,,,,,
11-01-21,49645.00,5.565,5.731,,5565,,,,,,,5731,,,,,,
12-01-21,55988.00,6.343,5.679,,6343,,,,,,,5679,,,,,,
13-01-21,64588.00,8.6,6.303,,8600,,,,,,,6303,,,,,,
14-01-21,70698.00,6.11,6.385,,6110,,,,,,,6385,,,,,,
15-01-21,75276.00,4.578,5.784,,4578,,,,,,,5784,,,,,,
16-01-21,79744.00,4.468,5.654,,4468,,,,,,,5654,,,,,,
17-01-21,79744.00,0,5.095,,0,,,,,,,5095,,,,,,
18-01-21,85223.00,5.479,5.083,84.803,5479,,420,,,,,5083,,,0,,,
19-01-21,93179.00,7.956,5.313,92.139,7336,,1.04,620,,"0,9%","0,0%",5313,,0,0,,,
20-01-21,107335.00,14.156,6.107,105.7,13561,,1.635,595,,"1,0%","0,0%",6107,,0,0,,,
21-01-21,123347.00,16.012,7.521,121.109,15409,,2.238,603,,"1,1%","0,0%",7521,,0,0,,,
22-01-21,14087.00,17.523,9.371,138.312,17203,,2.558,320,,"1,3%","0,0%",9371,,0,0,,,
23-01-21,160101.00,19.231,11.48,154.273,15961,,3.115,557,,"1,4%","0,0%",11092,,2.713,2.713,,,
24-01-21,160101.00,0,11.48,154.273,0,,3.115,0,,"1,4%","0,0%",11092,,0,2.713,,,
25-01-21,179951.00,19.85,13.533,169.456,15183,12.093,7.921,4806,1.072,"1,6%","0,1%",13165,,-139,2.574,,,
26-01-21,197755.00,17.804,14.939,182.778,13322,12.948,13.005,5084,1.709,"1,7%","0,1%",14658,,-602,1.972,,,
27-01-21,21604.00,18.285,15.529,196.009,13231,12.901,17.726,4721,2.299,"1,8%","0,2%",15200,,333,2.305,,,
28-01-21,234285.00,18.245,15.848,208.461,12452,12.479,23.609,5883,3.053,"1,9%","0,2%",15532,,-90,2.215,,,
29-01-21,253363.00,19.078,16.07,218.91,10449,11.514,32.393,8784,4.262,"2,0%","0,3%",15776,,-155,2.06,,,
30-01-21,271287.00,17.924,15.884,230.518,11608,10.892,38.588,6195,5.068,"2,2%","0,4%",15960,,121,2.181,,,
31-01-21,271287.00,0,15.884,230.518,0,10.892,38.588,0,5.068,"2,2%","0,4%",15960,,0,2.181,,,
01-02-21,293817.00,22.53,16.267,244.652,14134,10.742,46.295,7707,5.482,"2,3%","0,4%",16224,,689,2.87,,,
02-02-21,315628.00,21.811,16.839,261.575,16923,11.257,54.086,7791,5.869,"2,4%","0,5%",17125,,-2.903,-33,,,
03-02-21,338122.00,22.494,17.44,276.135,14560,11.447,61.987,7901,6.323,"2,6%","0,6%",17770,,33,0,,,
04-02-21,359723.00,21.601,17.92,291.259,15124,11.828,68.464,6477,6.408,"2,7%","0,6%",18236,,0,0,,,
05-02-21,380136.00,20.413,18.11,306.441,15182,12.504,73.695,5231,5.9,"2,9%","0,7%",18405,,0,0,,,
06-02-21,397857.00,17.721,18.081,318.097,11656,12.511,79.76,6065,5.882,"3,0%","0,7%",18393,,0,0,,,
07-02-21,397857.00,0,18.081,318.097,0,12.511,79.76,0,5.882,"3,0%","0,7%",18393,,0,0,,,
08-02-21,417565.00,19.708,17.678,332.812,14715,12.594,84.753,4993,5.494,"3,1%","0,8%",18088,,0,0,,,
09-02-21,437872.00,20.307,17.463,345.29,12478,11.959,92.582,7829,5.499,"3,2%","0,9%",17459,,0,0,,,
10-02-21,459535.00,21.663,17.345,353.412,8122,11.04,106.123,13541,6.305,"3,3%","1,0%",17345,,0,0,,,
11-02-21,482416.00,22.881,17.528,360.8,7388,9.934,121.616,15493,7.593,"3,4%","1,1%",17528,,0,0,,,
12-02-21,506038.00,23.622,17.986,366.749,5949,8.615,139.289,17673,9.371,"3,4%","1,3%",17986,,0,0,,,
13-02-21,526369.00,20.331,18.359,371.462,4713,7.624,154.907,15618,10.735,"3,5%","1,4%",18359,,0,0,,,
