,Ημερομηνία,1η δόση (ημέρας),2η δόση (ημέρας),m.o. week
0,2020-12-27,211,,
1,2020-12-28,175,,
2,2020-12-29,670,,
3,2020-12-30,707,,
4,2020-12-31,630,,
5,2021-01-01,264,,
6,2021-01-02,344,,429.0
7,2021-01-03,778,,510.0
8,2021-01-04,5749,,1306.0
9,2021-01-05,6705,,2168.0
10,2021-01-06,4233,,2672.0
11,2021-01-07,5540,,3373.0
12,2021-01-08,8781,,4590.0
13,2021-01-09,5376,,5309.0
14,2021-01-10,3917,,5757.0
15,2021-01-11,5565,,5731.0
16,2021-01-12,6343,,5679.0
17,2021-01-13,8600,,6303.0
18,2021-01-14,6110,,6385.0
19,2021-01-15,4578,,5784.0
20,2021-01-16,4468,,5654.0
21,2021-01-17,0,,5095.0
22,2021-01-18,5479,,5083.0
23,2021-01-19,7336,620.0,5313.0
24,2021-01-20,13561,595.0,6107.0
25,2021-01-21,15409,603.0,7521.0
26,2021-01-22,17203,320.0,9371.0
27,2021-01-23,15961,557.0,11092.0
28,2021-01-24,0,0.0,11092.0
29,2021-01-25,15183,4806.0,13165.0
30,2021-01-26,13322,5084.0,14658.0
31,2021-01-27,13231,4721.0,15200.0
32,2021-01-28,12452,5883.0,15532.0
33,2021-01-29,10449,8784.0,15776.0
34,2021-01-30,11608,6195.0,15960.0
35,2021-01-31,0,0.0,15960.0
36,2021-02-01,14134,7707.0,16224.0
37,2021-02-02,16923,7791.0,17125.0
38,2021-02-03,14560,7901.0,17770.0
39,2021-02-04,15124,6477.0,18236.0
40,2021-02-05,15182,5231.0,18405.0
41,2021-02-06,11656,6065.0,18393.0
42,2021-02-07,0,0.0,18393.0
43,2021-02-08,14715,4993.0,18088.0
44,2021-02-09,12478,7829.0,17459.0
45,2021-02-10,8122,13541.0,17345.0
46,2021-02-11,7388,15493.0,17528.0
47,2021-02-12,5949,17673.0,17986.0
48,2021-02-13,4713,15618.0,18359.0
49,2021-02-14,0,0.0,18359.0
50,2021-02-15,14587,13789.0,19597.0
51,2021-02-16,11791,923.0,18512.0
52,2021-02-17,1513,12771.0,17458.0
53,2021-02-18,17154,13216.0,18528.0
54,2021-02-19,18949,11361.0,19484.0
55,2021-02-20,16769,1232.0,19151.0
56,2021-02-21,1814,1995.0,19695.0
57,2021-02-22,19164,14001.0,20379.0
58,2021-02-23,18328,13886.0,23165.0
59,2021-02-24,17362,14361.0,25656.0
60,2021-02-25,17529,14494.0,25892.0
61,2021-02-26,16341,14595.0,25982.0
62,2021-02-27,15794,12721.0,27484.0
63,2021-02-28,0,0.0,26939.0
64,2021-03-01,21879,13489.0,27254.0
65,2021-03-02,23684,12266.0,27788.0
66,2021-03-03,25481,8789.0,28152.0
67,2021-03-04,25934,7368.0,28334.0
68,2021-03-05,28725,5868.0,28857.0
69,2021-03-06,27512,4933.0,29418.0
70,2021-03-07,0,0.0,29418.0
71,2021-03-08,28248,6063.0,29267.0
72,2021-03-09,26901,5425.0,28750.0
73,2021-03-10,26744,5593.0,28473.0
74,2021-03-11,24482,7188.0,28240.0
75,2021-03-12,2339,8304.0,24819.0
76,2021-03-13,22251,7134.0,24382.0
77,2021-03-14,0,0.0,24382.0
78,2021-03-15,242,1723.0,19761.0
79,2021-03-16,18277,1284.0,17937.0
80,2021-03-17,19722,9459.0,17486.0
